destination,name,area,subarea,boulder,grade,stars,FA,FA_year,style_icon_1,style_icon_2,style_icon_3,style_icon_4,description
Squamish,Pavarotti,Grand Wall,Campground Boulders,Pavelini,V4,2,Mark Fraser,2014,crimpy,sit-start,,,This line is found on the north face and starts seated with two crimps. Move right to the arête and then up pinches to an exciting topout| a result of the nature of the steep terrain below. Use a good spotter! 
Squamish,Pavelini,Grand Wall,Campground Boulders,Pavelini,V7,5,Martin Pigeon,2013,slopey,powerful,,,Start matched on an obvious sidepull undercling left of the boulder's centre. Move right through slopers and crimps to a large sidepull and up. Excellent quality in a very nice setting.
Squamish,Primer,Grand Wall,Campground Boulders,Pavelini,V7,2,Tim Doyle,2000,powerful,dangerous,sit-start,,Start seated below the rail. Move up to the rail and then traverse left through the overhang to an exciting topout right of the arête| which shares the same pants-filling exposure as Pavarotti.
Squamish,Shell Casing,Grand Wall,Campground Boulders,Pavelini,V5,3,Mike Chapman,2000,powerful,sit-start,,,Start seated as for Primer| hit the rail and finish slightly left| up the centre of the face.
Squamish,The Gift,Grand Wall,Campground Boulders,Pavelini,V6,4,Alistair King,2000,slopey,powerful,sit-start,,Start seated as for Primer| hit the rail and then finish out right as for Pavelini.
Squamish,The Gold Standard,Grand Wall,Campground Boulders,Liquid Gold,V3,3,,,technical,,,,Start with a poor left edge and a flat right-hand sidepull below. Chuck for the base of the cool funnel groove| match then work up and into it. Good technical press moves.
Squamish,Liquid Gold,Grand Wall,Campground Boulders,Liquid Gold,V4,4,,,powerful,,,,"Start with a small basalt edge and a left-hand sloper/pinch at the base of the dripping ""tongue"". Shoot way right to a better hold and then up to the lip. The roll is engaging since the landing area is quite sloping."
Squamish,Precious Metal,Grand Wall,Campground Boulders,Liquid Gold,V1,2,,,,,,,Pinch the overhead fin and crank to a lip jug. Not a bad warm-up| but a tad committing.
Squamish,Alcohol Abuse,Grand Wall,Campground Boulders,White Slab,V1,0,Andrew Boyd,1996,slabby,,,,Slab climb near the left end of the face.
Squamish,Flying Fury,Grand Wall,Campground Boulders,White Slab,V1,0,Andrew Boyd,1996,slabby,,,,Climb thin features just left of the obvious dyke feature| without using any dyke holds. Currently blocked by a fallen log.
Squamish,Dick Van Dyke,Grand Wall,Campground Boulders,White Slab,V0,2,Andrew Boyd,1996,slabby,,,,Climb left to right along the narrow dyke| which sports a variety of small edges.
Squamish,Slip and Slide,Grand Wall,Campground Boulders,White Slab,V4,3,Andrew Boyd,1996,slabby,,,,Paddle your way up the glassy bulge about 5 m right of the dyke. A crux lurks near the top.
Squamish,Strange Brew,Grand Wall,Campground Boulders,White Slab,V2,1,Andrew Boyd,1996,slabby,,,,This final slab climb is found just to the right of Slip and Slide.
Squamish,33.33 Traverse,Grand Wall,Campground Boulders,33.33 Traverse,V0,1,Erik Wolfe,2002,,,,,Start crouching| matched on the lip about 1 m right of the shelf. Traverse left to the shelf| stand on it and top out above. Very short and very easy
Squamish,Dave's Cave,Grand Wall,Campground Boulders,Dave's Cave,V3,3,Tucker Webb,2018,dynamic,dangerous,,,This problem is nuts! Start on a small debris ledge on the slab and then leap to an obvious shelf on the lip of the huge cave. Mantel to finish. If you can't control the swing| you'll likely land upside down!
Squamish,Diretissimo,Grand Wall,Campground Boulders,Dave's Cave,V2,2,Erik Wolfe,2002,technical,,,,Start with a right crimp flake at 2 m and a sloping left rail. Make a hard roll-up move to the left and then join Three Crescents for the slab journey above
Squamish,Three Crescents,Grand Wall,Campground Boulders,Dave's Cave,V0+,1,Erik Wolfe,2002,technical,,,,Start with a curved lip edge and a sloper. Step onto the hanging slab and then traverse right until it's possible to work onto the upper slab and the top.
Squamish,Cave Arête,Grand Wall,Campground Boulders,Dave's Cave,V3,3,,,,,,,Walk around the north side of the boulder to a tunnel that forms a small cave. On the east-facing wall is a small| incut rail and crimper. Start with these holds and make a tough pull to the lip. Find better holds for a tenuous roll out of the cave and onto the slabby face.
Squamish,Bullethead Dyno,Grand Wall,Campground Boulders,Bullethead Dyno,V2,3,,,dynamic,,,,Directly uphill from the cave is a short boulder at the wall's base. Start with a left sidepull and right sloper and jump for the lip. The flat landing helps.
Squamish,M. Gaston,Grand Wall,Campground Boulders,M. Gaston,V0+,2,Erik Wolfe,2002,,,,,Start standing using a slopey left arête hold and a positive right sidepull. Work up and right along the blunt arête to a trickier-than-it-looks topout.
Squamish,Mark's Traverse,Grand Wall,Campground Boulders,Mark's Traverse,V0+,2,Mark Philips,1995,pumpy,,,,Starting on the far right| traverse the flat lip of the boulder leftward until it's possible to roll up just before the tree. Cool basalt bands on a lowball that climbs much longer than it first appears. 
Squamish,Dyke Rock Traverse,Grand Wall,Campground Boulders,Dyke Rock,V3,1,Erik Wolfe,2002,sit-start,,,,Start seated using a small jug far to the right. Move left around the corner and traverse the shelf rail until it's possible to make an awkward roll.
Squamish,Dyke Direct,Grand Wall,Campground Boulders,Dyke Rock,V2,2,Erik Wolfe,2002,powerful,,,,Start in underclings. Paste your feet| hit the lip and finish with Dyke Rock Traverse.
Squamish,Erix Arête,Grand Wall,Campground Boulders,Erix Arête,V1,0,Erik Wolfe,2002,,,,,Climb the right side of the face. Start gripping the righthand arête while standing on a ledge.
Squamish,Shithook,Grand Wall,Campground Boulders,Red Face,V0+,1,Erik Wolfe,2002,,,,,Start crouching using edges just left of the tree. Paste your feet| hit the lip and move left to finish.
Squamish,Red Face,Grand Wall,Campground Boulders,Red Face,V2,3,Peter Michaux,1996,,,,,Start seated just left of the arête on a very low| small jug. Crank up and right to holds on the arête and then make a big| fun slap to the lip. Good quality on a problem that many find very stout for the grade!
Squamish,Pain Management,Grand Wall,Campground Boulders,Red Face,V8,2,Tim Clifford,2021,powerful,crimpy,,,Start with a small| sharp sidepull for the left hand and a sidepull undercut for the right. Pull on and make a hard move to a small edge and then up the centre of the face. Sharp and super crimpy!
Squamish,Mounting the Throne,Grand Wall,Campground Boulders,Red Face,V3,2,Stu Worrall,1995,reachy,,,,Start matched on a positive shelf just right of the corner of the boulder. Traverse right before making a huge reach up and right to a high| flexing edge.
Squamish,Turd Arete,Grand Wall,Campground Boulders,Red Face,V0+,2,,,,,,,Start as for Mounting the Throne| but move directly up to the lip and then follow it to the boulder's top
Squamish,Tin Man,Grand Wall,Campground Boulders,The Fuzz,V7,0,,,dynamic,,,,Reach high to two obvious crimpers. Pull on and chuck for a good hold in the basalt blocks.
Squamish,The Fuzz,Grand Wall,Campground Boulders,The Fuzz,V7,5,Nick Gibbs,2003,sit-start,,,,Start seated directly under the bulge using a small but positive left-hand sidepull and a diagonal right edge slot. Boulder up left and then back right on awesome holds. An outstanding problem on impeccable stone.
Squamish,The Fury,Grand Wall,Campground Boulders,The Fuzz,V10,3,Tim Doyle,2004,crimpy,sit-start,,,Use the same start position as The Fuzz| except match the diagonal edge slot. Move with great difficulty directly up the wall to an incut crimp plate and finish above. This is a vicious| two-move power problem.
Squamish,The Furry,Grand Wall,Campground Boulders,The Fuzz,V11,3,Simon Parton,2013,crimpy,sit-start,,,Start seated matched on a slopey left-facing sidepull left of The Fuzz. Climb into The Fury and finish for that problem. Most like the added length.
